<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.18,1,17/09/18,12:33,107610.0000000,107610.0000000,107610.0000000,107610.0000000,10
SPFB.RTS-12.18,1,17/09/18,12:34,107620.0000000,107630.0000000,107620.0000000,107630.0000000,12
SPFB.RTS-12.18,1,17/09/18,12:35,107650.0000000,107650.0000000,107600.0000000,107610.0000000,12
SPFB.RTS-12.18,1,17/09/18,12:36,107620.0000000,107640.0000000,107620.0000000,107640.0000000,5
SPFB.RTS-12.18,1,17/09/18,12:37,107650.0000000,107660.0000000,107620.0000000,107620.0000000,12
SPFB.RTS-12.18,1,17/09/18,12:38,107620.0000000,107620.0000000,107620.0000000,107620.0000000,4
SPFB.RTS-12.18,1,17/09/18,12:39,107640.0000000,107650.0000000,107640.0000000,107650.0000000,9
SPFB.RTS-12.18,1,17/09/18,12:40,107620.0000000,107630.0000000,107620.0000000,107630.0000000,4
SPFB.RTS-12.18,1,17/09/18,12:41,107620.0000000,107620.0000000,107580.0000000,107610.0000000,22
SPFB.RTS-12.18,1,17/09/18,12:42,107560.0000000,107560.0000000,107550.0000000,107550.0000000,20
SPFB.RTS-12.18,1,17/09/18,12:43,107580.0000000,107580.0000000,107560.0000000,107560.0000000,6
SPFB.RTS-12.18,1,17/09/18,12:44,107600.0000000,107600.0000000,107520.0000000,107520.0000000,96
SPFB.RTS-12.18,1,17/09/18,12:45,107520.0000000,107570.0000000,107520.0000000,107530.0000000,30
SPFB.RTS-12.18,1,17/09/18,12:46,107530.0000000,107580.0000000,107530.0000000,107530.0000000,24
SPFB.RTS-12.18,1,17/09/18,12:47,107550.0000000,107640.0000000,107550.0000000,107640.0000000,22
SPFB.RTS-12.18,1,17/09/18,12:48,107640.0000000,107770.0000000,107620.0000000,107770.0000000,289
SPFB.RTS-12.18,1,17/09/18,12:49,107760.0000000,107810.0000000,107730.0000000,107750.0000000,157
SPFB.RTS-12.18,1,17/09/18,12:50,107740.0000000,107750.0000000,107670.0000000,107680.0000000,86
SPFB.RTS-12.18,1,17/09/18,12:51,107680.0000000,107690.0000000,107660.0000000,107690.0000000,12
SPFB.RTS-12.18,1,17/09/18,12:52,107650.0000000,107660.0000000,107650.0000000,107660.0000000,7
SPFB.RTS-12.18,1,17/09/18,12:53,107690.0000000,107780.0000000,107690.0000000,107770.0000000,43
SPFB.RTS-12.18,1,17/09/18,12:54,107800.0000000,107820.0000000,107720.0000000,107740.0000000,44
SPFB.RTS-12.18,1,17/09/18,12:55,107750.0000000,107790.0000000,107730.0000000,107760.0000000,23
SPFB.RTS-12.18,1,17/09/18,12:56,107740.0000000,107740.0000000,107700.0000000,107720.0000000,26
SPFB.RTS-12.18,1,17/09/18,12:57,107730.0000000,107800.0000000,107720.0000000,107730.0000000,126
SPFB.RTS-12.18,1,17/09/18,12:58,107720.0000000,107760.0000000,107720.0000000,107760.0000000,13
SPFB.RTS-12.18,1,17/09/18,12:59,107750.0000000,107770.0000000,107700.0000000,107770.0000000,28
SPFB.RTS-12.18,1,17/09/18,13:00,107780.0000000,107780.0000000,107710.0000000,107710.0000000,14
SPFB.RTS-12.18,1,17/09/18,13:01,107710.0000000,107710.0000000,107660.0000000,107660.0000000,19
SPFB.RTS-12.18,1,17/09/18,13:02,107670.0000000,107730.0000000,107670.0000000,107730.0000000,10
SPFB.RTS-12.18,1,17/09/18,13:03,107750.0000000,107810.0000000,107740.0000000,107810.0000000,26
SPFB.RTS-12.18,1,17/09/18,13:04,107810.0000000,107830.0000000,107810.0000000,107810.0000000,15
SPFB.RTS-12.18,1,17/09/18,13:05,107830.0000000,107880.0000000,107830.0000000,107880.0000000,110
SPFB.RTS-12.18,1,17/09/18,13:06,107890.0000000,108020.0000000,107890.0000000,108000.0000000,250
SPFB.RTS-12.18,1,17/09/18,13:07,108000.0000000,108040.0000000,107990.0000000,108020.0000000,82
SPFB.RTS-12.18,1,17/09/18,13:08,108030.0000000,108080.0000000,107960.0000000,107970.0000000,290
SPFB.RTS-12.18,1,17/09/18,13:09,107970.0000000,107980.0000000,107940.0000000,107960.0000000,97
SPFB.RTS-12.18,1,17/09/18,13:10,107950.0000000,107960.0000000,107940.0000000,107960.0000000,13
SPFB.RTS-12.18,1,17/09/18,13:11,107960.0000000,108070.0000000,107960.0000000,108070.0000000,52
SPFB.RTS-12.18,1,17/09/18,13:12,108050.0000000,108060.0000000,108050.0000000,108060.0000000,13
SPFB.RTS-12.18,1,17/09/18,13:13,108060.0000000,108060.0000000,108030.0000000,108050.0000000,22
SPFB.RTS-12.18,1,17/09/18,13:14,108040.0000000,108060.0000000,108040.0000000,108050.0000000,7
SPFB.RTS-12.18,1,17/09/18,13:15,108030.0000000,108040.0000000,108020.0000000,108040.0000000,10
SPFB.RTS-12.18,1,17/09/18,13:16,108010.0000000,108150.0000000,108010.0000000,108150.0000000,259
SPFB.RTS-12.18,1,17/09/18,13:17,108100.0000000,108140.0000000,108090.0000000,108090.0000000,40
SPFB.RTS-12.18,1,17/09/18,13:18,108070.0000000,108120.0000000,108060.0000000,108090.0000000,15
SPFB.RTS-12.18,1,17/09/18,13:19,108080.0000000,108080.0000000,108030.0000000,108060.0000000,26
SPFB.RTS-12.18,1,17/09/18,13:20,108040.0000000,108050.0000000,108030.0000000,108030.0000000,27
SPFB.RTS-12.18,1,17/09/18,13:21,108060.0000000,108080.0000000,108060.0000000,108080.0000000,11
